trail_id|score_id|score|score_date|score_link
17|17|5|11/6/2018|https://www.google.com/search?ei=9TkHXLT7JYPYtAWIpaXgAw&q=cherrywood+pocket+park&oq=cherrywood+pocket+&gs_l=psy-ab.3.0.0j38j0i22i30j38.487372.507729..508634...18.0..4.249.6366.37j21j3....2..0....1..gws-wiz.....6..35i39j0i131j0i67j0i131i67j0i20i263j0i10j0i13j0i13i10j0i8i13i30j0i8i13i10i30.xTEl3SRGWXE#lrd=0x8644b5f210e1d84b:0xe5e5cf70f6def5a6,1,,,
18|18|4|11/29/2018|https://www.yelp.com/biz/chris-mosqueda-hike-and-bike-trail-austin
19|19|3|11/6/2018|https://www.google.com/search?q=cirlce+c+ranch+metro+park&oq=cirlce+c+ranch+metro+park&aqs=chrome..69i57j0l5.9255j1j9&sourceid=chrome&ie=UTF-8#lrd=0x865b4ea8f923d6ed:0x9e6e2835275b2af4,1,,,
20|20|5|11/27/2018|https://www.google.com/search?q=civitan+neighborhood+park&oq=civitan+neigh&aqs=chrome.0.0j69i57.20903j0j9&sourceid=chrome&ie=UTF-8#lrd=0x8644b699751fdfa9:0x82465fca15d31049,1,,,
21|21|4|12/4/2017|https://www.google.com/search?q=colony+district+park&oq=colony+dis&aqs=chrome.0.0j69i57j0l4.11776j1j9&sourceid=chrome&ie=UTF-8#lrd=0x8644b7db9a1b692b:0xa700362c5ea437cc,1,,,
22|22|4|8/4/2018|https://www.google.com/search?q=colorado+river+wildlife+sanctuary&oq=colorado+river+wildlife+&aqs=chrome.2.69i57j0l5.13167j0j9&sourceid=chrome&ie=UTF-8#lrd=0x8644b68300f90d53:0xdae5901a2e3d1a83,1,,,
23|23|5|8/20/2018|https://www.google.com/search?q=commons+ford+ranch+metro+park&oq=commos+ford+ranc&aqs=chrome.4.69i57j0l5.12383j1j9&sourceid=chrome&ie=UTF-8#lrd=0x865b3661d6f4f0b7:0x278634727e17f2cf,1,,,
24|24|5|5/6/2008|https://www.yelp.com/biz/convict-hill-quarry-park-austin
25|25|4|9/4/2018|https://www.google.com/search?q=cook+school+park&oq=cook+school+park+&aqs=chrome..69i57j0l3.4934j0j4&sourceid=chrome&ie=UTF-8#lrd=0x8644cbe46b63c055:0x8baa8e28d59fc02a,1,,,
26|26|5|10/6/2018|https://www.yelp.com/biz/copperfield-nature-trails-austin
27|27|4|4/5/2014|http://www.austinexplorer.com/Locations/ShowLocation.aspx?LocationID=1695
28|28|5|8/2/2018|https://www.yelp.com/biz/cunningham-park-fresh-meadows
29|29|3|1/17/2018|https://www.yelp.com/biz/northeast-district-park-leash-free-dog-park-austin
30|30|4|11/4/2018|https://www.google.com/search?q=dicknichols+distrtric+park+connection+trail&oq=dicknichols+distrtric+park+connection+trail+&aqs=chrome..69i57.21328j0j4&sourceid=chrome&ie=UTF-8#lrd=0x865b4bef96c700f3:0xb1135d99ff1f49d4,1,,,
31|31|5|11/4/2017|https://www.alltrails.com/trail/us/texas/dick-nichols-park-trail
32|32|5|7/25/2018|https://www.yelp.com/biz/dittmar-recreation-center-austin
33|33|3|6/25/2011|https://foursquare.com/v/dittmar-park/4b12e03bf964a520e98f23e3
34|34|5|11/4/2018|https://www.google.com/search?ei=vEEHXNi1L8zmsgXgpL64Bw&q=doss+school+park+track+review&oq=doss+school+park+track+review&gs_l=psy-ab.3..33i160.13311.14654..14960...0.0..0.111.548.6j1......0....1..gws-wiz.......0i71j33i299.SCSxULUjW7w#lrd=0x8644cb17bae92fa7:0x701e1011377a3a04,1,,,
35|35|4|3/27/2018|https://www.yelp.com/biz/dottie-jordan-park-austin
36|36|3|7/8/2017|https://www.yelp.com/biz/dove-springs-district-park-austin
