park_id|park_name|address
160|Lakeline Neighborhood Park|2701 S Lakeline Blvd., Austin, Texas 78613
161|Lakeshore at Town Lake Metropolitan Park|2200 S Lakeshore Blvd., Austin, Texas 78741
162|Lamar Beach in Town Lake Metropolitan Park|1200 W Cesar Chavez St., Austin, Texas 78703
163|Lamar Senior Activity Center|2874 Shoal Crest Ave., Austin, Texas 78705
164|Latta Branch Greenbelt|7910 Beckett Rd., Austin, Texas 78749
165|Lawrence Street Pocket Park|1805 Lawrence St., Austin, Texas 78741
166|Legend Oaks Neighborhood Park|7724 Escarpment Blvd., Austin, Texas 78749
167|Legendary Drive Easement*|3201 Legendary Dr., Austin, Texas 78727
168|Lewis Mountain Ranch Neighborhood Park|8206 Lewis Mountain Dr., Austin, Texas 78737
169|Lions Municipal Golf Course*|2901 Enfield Rd., Austin, Texas 78703
170|Little Stacy Neighborhood Park|1500 Alameda Dr., Austin, Texas 78704
171|Little Walnut Creek Greenbelt|5100 E 51st St., Austin, Texas 78723
172|Little Zilker Neighborhood Park|2016 Bluebonnet Ln., Austin, Texas 78704
173|Longhorn Shores at Town Lake Metropolitan Park|60 S Pleasant Valley Rd., Austin, Texas 78741
174|Longview Neighborhood Park|7609 Longview Rd., Austin, Texas 78745
175|Lott Pocket Park|1180 Curve St., Austin, Texas 78702
176|Lower Bull Creek Easement*|5217 Old Spicewood Springs Rd., Austin, Texas 78731
177|Lower Bull Creek Greenbelt|7806 N Capital of Texas Hwy., Austin, Texas 78731
178|Lucy Read School Park|7509 Silvercrest Dr., Austin, Texas 78757
179|MLK Station Neighborhood Park|2907 E Martin Luther King Jr Blvd., Austin, Texas 78702
180|Mabel Davis District Park|3427 Parker Ln., Austin, Texas 78741
181|Maggie Boatright Area at the Bull Creek Greenbelt|6958 Spicewood Springs Rd., Austin, Texas 78759
182|Manuel and Robert Donley Pocket Park|2301 Haskell St., Austin, Texas 78702
183|Marble Creek Greenbelt|6605 E William Cannon Dr., Austin, Texas 78744
184|Margaret Hoffman Oak Park|315 W Cesar Chavez St., Austin, Texas 78701
185|Mary Dawson Pocket Park|650 Dawson Rd., Austin, Texas 78704
186|Mary Frances Baylor Clarksville Pocket Park|1811 W 11th St., Austin, Texas 78703
187|Mary Moore Searight Metropolitan Park|907 W Slaughter Ln., Austin, Texas 78748
188|Mayfield Park|3805 W 35th St., Austin, Texas 78703
189|Meadows at Trinity Crossing Neighborhood Park|5900 Sendero Hills Pkwy., Austin, Texas 78724
190|Meadowview Triangle|414 W Crestland Dr., Austin, Texas 78752
191|Metz Neighborhood Park|2407 Canterbury St., Austin, Texas 78702
192|Michael Butler Park at Town Lake Metro Park|1000 Barton Springs Rd. Austin, Texas 78704
193|MIchael Butler Shores at Town Lake Metro Park|200 S Lamar Blvd., Austin, Texas, 78704
194|Millenium Center|1156 Hargrave St., Austin, Texas 78702
195|Montopolis Neighborhood Park|1200 Montopolis Dr., Austin, Texas 78741
196|Montopolis Practice Fields|901 Vasquez St., Austin, Texas 78741
197|Morris Williams Golf Course|3851 Manor Rd., Austin, Texas 78723
198|Mountain View Neighborhood Park|9000 Middlebie Rd., Austin, Texas 78750
199|Murchison Pool|7022 Hart Ln., Austin, Texas 78731
200|Musket Valley Neighborhood Park|11605 Bachman Dr., Austin, Texas 78754
201|Nicholas Dawson Neighborhood Park|704 W James St., Austin, Texas 78704
202|Norman School Park|3901 Tannehill Ln., Austin, Texas 78721
203|North Acres Greenbelt|1112 Hermitage Dr., Austin, Texas 78753
204|North Cat Mountain Greenbelt|6801 Cat Creek Trl., Austin, Texas 78731
205|North Oaks Neighborhood Park|820 Plaza Dr., Austin, Texas 78753
206|North Star Greenbelt|11701 Tallow Field Way, Austin, Texas 78758
207|Northern Walnut Creek Greenbelt|2611 Park Bend Rd., Austin, Texas 78758
208|Northern Walnut Creek Greenbelt Easement 1*|5712 1/2 W Parmer Ln., Austin, Texas 78727
209|Northern Walnut Creek Greenbelt Easement 2*|11800 Dessau Rd., Austin, Texas 78753
210|Northwest Balcones Neighborhood Park|10225 Talleyran Dr., Austin, Texas 78750
211|Northwest Recreation Center|2913 Northland Dr., Austin, Texas 78731
212|Norwood Tract at Town Lake Metropolitan Park|1009 Edgecliff Ter., Austin, Texas 78704
213|Oak Springs School Park|2806 Goodwin Ave., Austin, Texas 78702
214|Oak View Neighborhood Park|10902 Oak View Dr., Austin, Texas 78759
215|Oakhill Neighborhood Park|5408 Southwest Pkwy., Austin, Texas 78735
216|Oakwood Annex Cemetery|1509 E MLK Jr Blvd., Austin, Texas 78702
217|Oakwood Cemetery|1012 E 16th St., Austin, Texas 78702
218|Odom School Park|1001 Sahara Ave., Austin, Texas 78745
219|Oertli Neighborhood Park|12613 Blaine Rd., Austin, Texas 78753
220|Old Bakery and Emporium|1006 Congress Ave., Austin, Texas 78701
221|Old Moore's Crossing Neighborhood Park|7420 Apperson St., Austin, Texas 78617
222|Old San Antonio District Park|12110 Old San Antonio Rd., Austin, Texas 78652
223|Onion Creek Greenbelt|7004 Onion Creek Dr., Austin, Texas 78744
224|Onion Creek Metropolitan Park|8652 Nuckols Crossing Rd., Austin, Texas 78744
225|Onion Creek Soccer Complex|5600 E William Cannon Dr., Austin, Texas 78744
226|Onion Creek Wildlife Sanctuary|4435 E SH 71, Austin, Texas 78617
227|Ortega School Park|5308 Chico St., Austin, Texas 78721
228|Palma Plaza Pocket Park|1524 Palma Plz., Austin, Texas 78703
229|Pan American Neighborhood Park|307 Chicon St., Austin, Texas 78702
230|Parque Zaragoza Neighborhood Park|2608 Gonzales St., Austin, Texas 78702
231|Pastor Edward Clarence Craig Jr. Neighborhood Park|4800 Copperbend Blvd., Austin, Texas 78744
232|Patterson Neighborhood Park|4200 Brookview Rd., Austin, Texas 78722
233|Payton Gin Pocket Park|801 Payton Gin Rd., Austin, Texas 78758
234|Peace Point at Town Lake Metropolitan Park|2200 S Lakeshore Blvd., Austin, Texas 78741
235|Pease District Park|1100 Kingsbury St., Austin, Texas 78703
236|Pecan Springs School Park|3312 Rogge Ln., Austin, Texas 78723
237|Perry Neighborhood Park|4800 Fairview Dr., Austin, Texas 78731
238|Pickfair Pocket Park|10904 Pickfair Dr., Austin, Texas 78750
239|Pillow School Park|8500 Rockwood Ln., Austin, Texas 78757
